"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CIIVA_IDS";"CODE__IPC";"CODE__JEDEC";"CODE__JEITA";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMP_TYPE";"DESCRIPTION";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HIGH__RELIABILITY";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_TOP_MARKING";"PIN_COUNT";"POPULARITY";"POWER_WISE";"PREFIX";"PRICE";"RELEASE_DATE";"ROHS";"SPICEPREFIX";"VALUE";"VAULT_GUID";"VAULT_REVISION";
"C1";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"C";"";"";"";
"C2";"100pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"C";"";"";"";
"C3";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"C";"";"";"";
"C5";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"C";"";"";"";
"C8";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"C";"";"";"";
"DHT";"GREEN";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";
"H1";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";
"H2";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";
"H3";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";
"H4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";
"J1";"F-1X03-SIP-100-32";"F-1X03-SIP-100-32";"SIP-100-03-32";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"47NH";"SMD-INDUCTOR-2.2UH-20%-1.2A(0805)";"L0805";"303010086";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LQM2MPN2R2MG0";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.2UH-1.2A";"";"";
"MICRO_USB";"10118192-0001LF";"10118192-0001LF";"AMPHENOL_10118192-0001LF";"Single Port 5 Contact Horizontal Right Angle Shielded Micro B USB 2.0 Connector";"Unavailable";"";"";"";"";"";"";"";" USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle ";"";"";"";"";"";"";"";"Amphenol ICC";"10118192-0001LF";"";"";"";"None";"";"";"";"";"";"";"None";"";"";"";"";"";"";
"PMS";"ORANGE";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";
"POWER";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";
"R2";"0R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R3";"100K 1/16W";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R4";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R5";"4.7K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R8";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R9";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R10";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R14";"1K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"R16";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";"";
"RADIO_LED";"ORANGE";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";
"RX_LED";"GREEN";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";
"SV1";"";"FE15-1";"FE15";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";
"SV2";"";"FE15-1";"FE15";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";
"SW1";"PCM12SMTR";"PCM12SMTR";"SW_PCM12SMTR";"Switch Slide ON ON SPDT Side Slide 0.3A 6VDC 10000Cycles Gull Wing SMD T/R";"Unavailable";"";"";"";"";"";"";"";" Slide Switch SPDT Surface Mount, Right Angle ";"";"";"";"";"";"";"";"C&K";"PCM12SMTR";"";"";"";"DO-201 C&amp";"K Components";"";"";"";"";"";"";"None";"";"";"";"";"";
"SW2";"PCM12SMTR";"PCM12SMTR";"SW_PCM12SMTR";"Switch Slide ON ON SPDT Side Slide 0.3A 6VDC 10000Cycles Gull Wing SMD T/R";"Unavailable";"";"";"";"";"";"";"";" Slide Switch SPDT Surface Mount, Right Angle ";"";"";"";"";"";"";"";"C&K";"PCM12SMTR";"";"";"";"DO-201 C&amp";"K Components";"";"";"";"";"";"";"None";"";"";"";"";"";
"TX_LED";"GREEN";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";
"U$1";"WSSFM10RWSSFM10R2R4";"WSSFM10RWSSFM10R2R4";"WSSFM10R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"TEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPBTEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPB_0_0";"TEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPBTEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPB_0_0";"TEXAS_INSTRUMENTS_LM1117IMP-3.3-NOPB_0";"PM-REG-LM1086-SOT4";"";"19361124";"SOT223-4";"TO-261-AA";"";"Datasheet URL";"http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=LM1117-N&fileType=pdf";"LDO IC";"";"Level C";"Level B";"Level A";"Y";"yes";"vault";"1521845365";"Texas Instruments";"";"LM1117IMP-3.3/NOPB";"";"";"DCY0004A";"Molded SOT-223, 6.50 x 3.56 x 1.6mm Body, 4 Lead, 2.3mm Pitch";"XYTT*N05B";"4";"";"N";"U";"";"1464077430";"Yes";"";"";"7E820BF6-F141-44C1-8A74-392CB201F257";"16019014-2FBF-4157-ADF5-B132B4DC413A";
